congregation,denomination,betweenness,bridge,degree,end,gender,id,modularity,name,race,start
flatlands-drc,dutch reformed,0,false,3,1787,male,369,4,Francis Titus,white,1767
flatlands-drc,dutch reformed,0.00158662498816,false,5,1791,female,370,12,Cornelia Schenck,white,1767
flatlands-drc,dutch reformed,0,false,3,1787,female,371,0,Sara Remsen,white,1767
flatlands-drc,dutch reformed,0.004310832561705,false,5,1802,female,372,17,Rebecca Emans,white,1767
flatlands-drc,dutch reformed,0,false,3,1787,female,373,4,Catharina Titus,white,1767
flatlands-drc,dutch reformed,0,false,3,1802,female,374,15,Annatie Rapelje,white,1768
flatlands-drc,dutch reformed,0,false,3,1788,female,377,6,Adriantie Voorhees,white,1768
flatlands-drc,dutch reformed,0,false,3,1789,female,379,17,Rebecca Wyckoff,white,1769
flatlands-drc,dutch reformed,0,false,1,1796,male,380,13,Aaron Van Pelt,white,1776
flatlands-drc,dutch reformed,0.022779638521015,false,8,1802,male,381,17,Joost Wyckoff,white,1775
flatlands-drc,dutch reformed,0,false,3,1790,male,382,16,Jacob Stellenwerf,white,1770
flatlands-drc,dutch reformed,0.071135725577967,false,12,1802,female,383,11,Johanna Wyckoff,white,1775
flatlands-drc,dutch reformed,0,false,2,1790,female,384,0,Johanna Bogert,white,1770
flatlands-drc,dutch reformed,0.056750091340884,female_bridge,5,1796,female,385,13,Geertie Stoothof,white,1771
flatlands-drc,dutch reformed,5.20981339395662E-05,false,4,1798,female,386,12,Magdalena Banker,white,1771
flatlands-drc,dutch reformed,0,false,3,1802,female,387,13,Abigail Van der Bilt,white,1784
flatlands-drc,dutch reformed,0,false,3,1791,female,388,4,Emmetie Rapelje,white,1771
flatlands-drc,dutch reformed,0,false,2,1791,female,389,9,Jannitie Johnson,white,1771
flatlands-drc,dutch reformed,0,false,3,1791,male,390,4,Jacob Snedeker,white,1771
