,canonical,original
1570,Annje,Annje
1601,Salome,Salome
1603,Agnes,Agnes
1607,Catharina  Schneider,Catharine Schneider
1613,Elizabeth,Elisabetha
1633,Anna  Catharine,Anna Catharina
1636,Judith,Judith
1676,Jacob  Schuler,Jacob Schuler
1678,Philip  Dorrenberger,Phil Dorrenberger
1680,Mattheus  Abel,Matthias Abel
1687,David  Tremer,David Tremer
1689,George  Fritz,George Fritz
1690,Jacob  Abel,Jacob Abel
1692,Freder: Fritz Sr,"Freder: Fritz, Sr,"
1693,Jacob  Abel,Jacob Abel
1697,John  Abel,John Abel
1698,Wm  Petrj,Wm Petrj
1699,Frederick  Fritz,Frederik Fritz
1715,Joh: Nico: Dennis,Joh: Nico: Dennis
1720,Thos Boskerk Sr,Thos Boskerk Sr
1722,Thos  Buskirk,Thos Boskerk
1724,Jacob  Leininger,Jacob Leininger
1725,Georg Mohr Sr,Georg Mohr Sr
